2017-10-27 20:56:01,411 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-27 20:57:19,800 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-27 20:57:19,800 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-27 20:57:19,831 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:19,831 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:21,237 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:24,753 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:24,769 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:57:24,769 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:24,769 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:57:26,663 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-27 20:57:26,694 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:30,194 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:39,977 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com:MedioxyPharmBackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-10-27 20:57:40,258 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:40,258 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:57:40,258 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:40,258 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:57:48,814 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharmBackend:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharmBackend\pom.xml.
2017-10-27 20:57:49,283 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharmBackend:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharmBackend\pom.xml.
2017-10-27 20:57:52,674 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharm:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharm\pom.xml.
2017-10-27 20:57:55,174 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:57:55,174 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-27 20:57:55,174 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:57:55,174 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-27 20:57:56,107 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com:MedioxyPharmBackend:0.0.1-SNAPSHOT @ F:\BackupProject\MedioxyPharmBackend\pom.xml.
2017-10-27 20:57:57,814 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:57,814 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:57:57,814 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:57:57,829 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:57:58,939 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:57:58,939 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-27 20:57:58,939 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:57:58,939 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-27 20:58:03,867 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:03,883 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:58:03,883 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:03,883 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:58:36,471 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:36,471 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:58:36,471 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:36,471 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:58:57,653 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:57,653 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-27 20:58:57,653 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-27 20:58:57,653 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
2017-10-27 20:58:57,684 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:58:57,684 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\main\resources
2017-10-27 20:58:57,684 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-10-27 20:58:57,684 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharmBackend\src\test\resources
2017-10-28 03:08:45,662 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:08:45,689 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-28 03:08:45,690 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-28 03:08:45,691 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\BackupProject\MedioxyPharm\src\test\resources
