127.0.0.1 - - [22/Nov/2017:13:57:44 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 41727
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35211
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:49 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109521
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/logo-small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/img/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/assets/img/1.jpg HTTP/1.1" 200 10002
0:0:0:0:0:0:0:1 - - [22/Nov/2017:13:57:50 +0530] "GET /MedioxyPharm/assets/img/2.jpg HTTP/1.1" 200 46120
